Week,Duration,Topic,Reading,HW
1,2,Introduction to Optimization in Data Mining and Machine Learning,CH1 L1 L2,HW1
2,2,Mathematical Foundations,Ch.2 L1 L2,HW2
3,2,Optimization Algorithms,Ch.3 L1 L2,HW3
4,2,Data Fitting and Regression,Ch.4 L1 L2,HW4
5,2,Logistic Regressions PCA LDA and ICA,Ch.5 L1 L2 L3 L4,HW5
6,2,Data Mining Techniques,Ch.6 L1 L2 L3 L4,HW6
7,2,Support Vector Machine and Regressions,Ch.7 L1 Ch.8 L1 Section 8.1 8.2 8.3 8.4,HW7
8,1,Neural Networks and Deep Learning,Ch.8 L2 L3,HW8
