Week,Duration,Topic
1,1,"Chapter 1 - Intro to Data, R, and Rstudio"
2,1,Chatper 2 - Summarizing Data
3,1,Chapter 3 - Probability
4,2,Chapter 4 - Distributions
6,1,Chatper 5 - Foundation for Inference
7,1,Chapter 6 - Inference for Categorical Data
8,1,Chapter 7 - Inference for Numerical Data
9,2,Chapter 8 - Linear Regression
11,2,Chapter 9 - Multiple & Logistic Regression
13,2,Intro to Bayesian Analysis
